Emotion,keywords
joy,sage act upgrade list tommorow
sadness,way homegirl baby funeral man hate funerals shows blessed
joy,eye  true hazel eyeand brilliant  regular features  open countenance  complexion  oh  bloom health  pretty height size  firm upright figure  health  merely bloom  air  head  glance  hears child  picture health    gives idea complete picture grownup health  loveliness 
joy,  ugh babe hugggzzz u  babe naamazed nga ako e babe e despite negas mas pinaramdam fil ko ang
fear,im expecting extremely important phonecall minute #terror #opportunity
sadness,couldnt wait live missing nh7 wasnt painful enuf suraj s performing gig delhi
surprise,maken tip 2: stop op een moment dat je het hele project wel ziet zitten nu dus #derestkomtlaterwel
surprise,en dan krijg je ff een cadeautje van een tweep #melike
surprise,  drummer boy bij op verzoek van      : welke uitvoering van wie
anger,bull tossed effigy hands infuriated  
sadness,people hide #fake smile
joy,life  leopold truly happy : hopes prayers beloved son come fruition 
fear,assault laughter stand ~ mark twain #emotionalcourage
anger, everybody  
sadness,shakuhachi dress $580 1022 mm lens $708 #pain :(
surprise,haha course come home different house leave parents redo entire downstairs warning
joy,feeling fail french #fuckfrench
joy,goodlet  
surprise,  reeeeeellllyyyyyyy need tell something guess what phone fucked up #gotohellmexicanphone
sadness,oh  thats bad  doctor 
joy,fell love \x\ overnight felt confidence selfesteem responsible worthwhile
fear,primitive #instinct thats friendit warns pay attention ur dangerit tells act save
anger,talk 
fear,riding friend car speed 120 km/h snowcovered motorway liked out
sadness,welcome   glad night love you leave :( im gonna miss much
surprise,ending pooped pants end weeks crazy ending #decoded
joy,terribly ecstatic dangerous thing 
sadness,losing something going fat burger dinner dad
joy,selected study university
joy,yeah  ’ ages  
fear,friend misunderstood know #heartoflife good
fear,     #xa#xaadd things symptom called #nervoso #xa#xau wanna learn [:
shame,doubted  failed recognise temporary financial embarrassment 
fear,bank secret dismay virgin s venture airlines 
joy,passed ba exams class results
sadness,homies ride ponies look like sad puppy #wanttoride #ankleneedstoheal
surprise,pop amp roll floor 
sadness,omg december 5th windows open house mr winter you jack frost missing too
surprise,alleen nog morgen cadootjes kopen stadje en dan helemaal klaar
surprise,im planet im planets hold life amp discovered
anger,kill work number slakers wandering around nothing
fear,years ago father ill stayed hospital long time experienced terrible feeling lose him
sadness,thought agreed  ’ going weeks rework 
anger,parents allow social function friends attending
fear,quotthe family bedrock society protect institution marriage country fallquot
sadness,bro team lost  played swag #freshcut
joy,heard selected fot year university zambia form chikola secondary school
anger,tried rape best friends claimed fault hassled her claimed loose threatened sue her
joy,welp time study days
joy,heading campus rain grad photos
fear,dismay way kids savaging flora stonethwaite good example 
sadness,moment terror drink hot chocolate knowing burn mouth
sadness, lot pressure  boss pushy  assigned projects  deadlines near  finished projects 
sadness,sink broken 2night: going lambnow pbj
sadness,apparently lost bestfriend
fear,“  shakiest 14point lead history college football” lol
